tconst,titleType,startYear,endYear,runYears,runtimeMinutes,genres,secGenres,maxSeason,avgMaxEps,actor,actress,archive_footage,self,writer,averageRating
tt0039123,tvSeries,1947,1958,11,60,Drama,None,11,47,9,1,0,0,0,8.2
tt0040021,tvSeries,1948,1950,2,30,Drama,None,2,32.5,6,3,0,1,0,7.2
tt0040028,tvSeries,1948,1958,10,30,Comedy,Family,1,10.5,0,0,0,10,0,6.7
tt0040036,tvSeries,1948,1950,2,30,Drama,None,2,41,8,2,0,0,0,8.5
tt0040041,tvSeries,1948,1956,8,60,Comedy,Family,8,22.85714286,0,1,0,9,0,7.7
tt0040048,tvSeries,1948,1967,19,60,Music,None,18,26,0,0,0,10,0,7.6
tt0040049,tvSeries,1948,1956,8,60,Drama,None,8,33.125,8,0,0,2,0,7.9
tt0040051,tvSeries,1948,1958,10,60,Drama,None,10,46.7,6,2,0,1,1,7.7
tt0040053,tvSeries,1948,1971,23,60,Music,Talk-Show,24,45.45833333,2,0,0,8,0,7.9
tt0041002,tvSeries,1949,1959,10,60,Music,None,1,4.5,0,0,0,10,0,6.6
tt0041005,tvSeries,1949,1950,1,30,Drama,History,2,35,6,4,0,0,0,7.1
tt0041007,tvSeries,1949,1959,10,30,Drama,None,9,20,6,0,0,4,0,7.5
tt0041014,tvSeries,1949,1955,6,30,Action,Adventure,0,0,10,0,0,0,0,7.3
tt0041015,tvSeries,1949,1952,3,60,Comedy,Family,3,30.66666667,0,0,0,10,0,8
tt0041021,tvSeries,1949,1950,1,30,Comedy,Music,1,39,0,0,0,10,0,7.1
tt0041023,tvSeries,1949,1955,6,30,Drama,None,7,34.28571429,8,1,0,1,0,8.1
tt0041024,tvSeries,1952,1957,5,30,Comedy,Drama,5,38.8,6,4,0,0,0,7.7
tt0041027,tvSeries,1949,1957,8,30,Comedy,None,1,0.5,5,5,0,0,0,7.7
tt0041030,tvSeries,1952,1954,2,60,Family,Western,2,26,10,0,0,0,0,7.8
tt0041034,tvSeries,1949,1949,0,60,Comedy,Family,2,9,1,0,0,9,0,7.3
